20,24,28,46,78,104,98,60,30,36,72,104,102,66,18,28,32,22,10,6,14,20,16,8,2,4,10,12,6,20,26,15,8,22,20,16,26,36,34,28,24,26,22,24,34,32,28,28,22,24,26,28,38,38,26,16,18,26,30,30,24,20,16,10,2,6,4,6,10,8,12,16,26,26,18,16,16,22,28,22,12,6,22,34,40,32,20,24,28,18,10,14,11,2,8,8,8,20,20,14,8,6,8,13,14,12,18,23,26,24,20,16,8,6,16,18,14,18,18,18,32,42,56,72,92,116,132,126,108,80,50,24,10,2,5,2,6,12,16,18,10,6,10,8,4,6,9,5,2,10,12,5,5,1,5,1,5,5,1,1,1,1,5,8,6,4,8,6,6,2,1,4,6,4,4,8,8,4,3,4,8,8,4,4,4,6,4,1,1,4,2,4,5,2,6,2,1,1,5,5,5,6,6,4,2,4,6,8,5,4,2,4,4,10,12,20,40,60,66,50,58,76,62,38,16,9,8,6,8,12,12,8,4,4,2,5,5,4,2,7,6,4,4,3,8,10,7,6,4,6,6,8,10,4,5,5,1,4,6,8,4,10,3,8,14,14,6,8,3,6,6,4,8,8,10,10,12,6,6,8,6,2,5,13,12,10,3,8,8,4,6,4,4,10,8,6,11,6,4,8,6,6,8,12,8,6,7,10,12,4,4,2,4,4,8,10,11,18,20,12,2,4,6,8,6,6,8,4,10,12,13,16,10,8,14,16,14,6,1,1,5,13,17,6,14,22,22,18,16,48,124,188,194,132,42,74,62,48,20,24,30,34,32,28,36,48,50,54,42,14,13,24,18,12,13,16,18,30,34,28,18,22,36,34,32,40,38,28,22,26,40,28,20,20,20,20,12,8,8,14,23,22,16,8,8,8,8,10,24,28,16,12,24,30,26,24,22,24,22,18,32,36,30,30,34,32,34,28,18,14,8,12,16,10,6,8,12,8,4,3,10,8,20,24,24,16,10,26,44,44,40,38,36,38,40,36,32,38,48,58,64,64,60,58,64,70,70,58,48,42,40,54,72,72,70,64,52,46,62,68,70,66,86,88,104,122,124,116,106,96,94,92,96,108,114,104,76,88,100,98,96,92,94,106,118,122,110,82,66,58,32,4,28,40,44,48,60,70,72,57,36,22,22,34,30,38,42,38,28,36,54,66,68,70,78,86,88,80,64,38,14,2,26,44,46,40,20,8,16,16,4,16,24,19,10,10,20,22,26,58,82,68,28,50,52,40,32,32,30,30,40,46,40,32,10,32,28,18,14,12,6,16,18,7,10,22,28,32,46,48,30,26,46,50,32,16,24,14,12,16,12,12,18,15,20,28,34,38,34,34,32,28,28,26,22,18,16,22,34,38,32,22,10,6,6,6,4,4,6,2,6,30,56,64,62,50,20,22,30,16
42,46,56,82,118,140,128,90,64,68,92,110,96,54,20,40,42,28,16,12,22,28,22,14,6,2,8,12,8,20,22,12,20,38,46,54,70,76,68,60,60,60,52,54,58,52,44,42,42,46,52,60,64,58,44,34,30,34,38,34,26,22,16,8,5,12,12,16,16,20,20,28,30,22,12,14,22,32,42,36,22,24,44,58,62,52,40,44,50,44,32,20,8,1,6,12,24,30,28,20,14,10,10,14,18,18,20,22,22,21,16,14,9,6,14,18,16,6,14,46,82,114,136,148,162,172,166,144,116,80,46,22,6,6,10,12,16,18,20,18,8,8,12,12,8,8,10,8,8,14,14,8,6,2,6,2,5,5,1,1,1,1,4,8,8,8,10,10,8,5,4,6,8,8,8,10,8,6,8,12,16,16,12,12,10,8,6,4,4,4,2,3,5,4,6,6,2,2,6,6,6,8,8,6,6,6,6,10,8,2,2,4,4,10,12,20,38,60,74,70,80,82,56,30,13,10,10,8,12,12,8,4,4,6,6,6,4,2,2,3,4,8,10,10,8,6,6,8,8,10,14,16,12,4,6,4,4,6,8,10,4,8,3,12,20,18,12,14,8,8,8,6,2,8,16,16,12,4,4,10,4,4,6,12,10,10,7,10,6,2,2,2,6,12,12,6,8,4,2,6,8,12,18,20,16,10,6,5,10,8,2,4,6,6,10,8,7,16,20,16,6,4,8,10,10,12,12,6,8,10,13,14,10,10,18,26,26,14,2,2,8,14,15,8,8,20,24,24,18,50,116,190,224,194,116,54,44,64,48,42,48,54,50,42,42,42,33,54,58,40,12,12,18,8,6,22,42,52,52,48,44,46,58,68,68,66,58,50,46,46,62,58,36,24,16,16,16,12,10,14,18,20,18,12,2,6,10,16,26,30,20,12,26,38,42,44,46,42,40,36,48,54,50,52,52,48,46,36,22,12,4,8,18,16,10,9,12,8,6,4,8,12,16,18,22,18,8,18,38,48,52,52,50,52,58,58,56,58,66,80,94,100,102,106,110,118,122,112,104,98,88,84,90,100,106,112,110,126,144,156,162,166,174,192,210,218,216,204,188,178,176,174,178,182,180,168,144,152,168,176,180,178,180,186,194,204,200,178,142,102,74,58,44,32,26,29,40,60,80,84,72,62,84,100,98,102,106,94,76,100,122,132,126,120,120,116,108,92,70,42,18,10,26,46,58,60,42,22,24,24,12,24,32,26,18,24,36,38,40,74,98,92,62,76,72,58,50,52,54,52,50,42,26,32,16,26,26,24,20,20,16,18,14,4,14,14,24,36,54,62,48,50,64,60,38,24,32,26,22,22,16,18,26,22,18,24,36,46,48,52,52,48,48,46,42,34,26,26,36,46,46,36,20,10,7,5,3,2,6,6,12,34,56,60,60,54,28,22,24,14
50,60,82,114,146,158,138,98,74,76,92,102,82,36,16,44,42,28,18,16,22,30,24,16,10,2,6,8,4,16,24,20,44,64,76,86,96,90,78,78,80,78,68,66,66,58,52,52,56,60,66,70,66,58,44,44,34,32,34,24,14,16,16,12,14,18,18,22,20,22,18,20,10,14,16,22,32,44,58,56,40,44,62,70,68,58,46,50,56,58,54,44,34,20,26,32,36,34,28,20,16,16,12,18,26,30,32,36,38,34,22,14,9,6,12,24,42,62,90,124,146,160,162,156,156,148,130,108,82,50,22,18,12,18,18,18,18,18,18,12,6,8,10,12,10,6,8,8,10,12,12,8,4,2,6,4,5,5,1,1,2,2,1,4,8,8,8,10,10,8,8,8,8,8,6,4,1,8,16,18,18,16,12,14,12,6,4,4,4,4,6,4,5,4,2,4,5,8,10,10,10,10,10,6,4,2,4,10,8,6,4,4,4,10,12,16,24,38,50,48,60,52,30,18,9,8,10,10,6,4,5,1,1,2,4,6,2,4,4,3,8,10,12,14,12,10,10,12,12,14,18,16,8,8,8,4,6,4,6,8,2,4,5,12,16,8,5,11,11,8,6,2,4,12,14,10,6,8,4,6,4,2,8,12,10,8,8,10,6,4,4,6,4,8,10,4,6,2,1,2,6,16,22,20,16,14,12,8,6,4,3,4,6,6,6,3,5,12,16,16,12,5,4,4,4,8,10,6,8,10,11,12,8,12,12,24,32,28,14,6,10,10,12,14,8,2,4,4,11,36,82,146,198,208,170,92,18,58,68,48,48,46,34,20,18,16,22,42,54,52,38,16,12,14,22,34,46,52,54,58,58,60,64,66,66,62,50,44,42,40,56,66,58,40,20,16,14,14,10,10,15,14,14,14,10,4,3,5,15,23,18,14,16,24,34,36,40,40,42,40,46,48,46,48,42,36,32,22,14,14,8,8,16,18,14,14,14,8,6,12,10,10,12,16,14,10,6,16,28,38,44,46,44,42,48,56,60,60,60,68,82,90,94,98,100,108,118,120,128,140,146,148,150,154,156,160,162,180,190,200,202,200,200,204,206,202,194,178,164,158,156,156,158,156,152,144,128,124,136,148,160,166,172,176,178,186,194,194,184,162,144,136,126,118,112,112,120,134,150,154,144,142,162,172,162,164,172,154,126,150,162,154,128,108,100,92,84,70,54,32,14,12,20,36,54,66,58,40,30,28,18,32,42,36,24,30,36,32,30,64,90,92,76,76,68,54,48,50,50,40,26,12,12,28,24,8,22,34,34,32,26,12,1,12,14,8,10,26,46,58,50,54,58,46,22,18,22,20,20,18,14,20,30,30,24,22,28,34,38,48,54,52,52,48,46,42,32,26,30,40,48,46,34,22,14,12,8,4,6,8,20,38,54,53,52,48,26,8,16,16
50,72,106,138,160,156,124,84,64,68,82,86,62,20,24,46,40,28,20,24,26,30,24,14,12,16,26,26,22,30,34,48,70,86,96,102,100,84,72,78,84,82,74,66,64,58,56,56,60,64,64,60,52,40,34,38,32,20,18,6,14,22,24,20,20,22,22,22,16,16,10,4,12,18,26,30,32,44,60,64,54,56,66,68,62,52,40,44,48,52,56,56,54,42,44,42,38,30,20,14,14,18,20,28,38,46,50,50,44,28,6,10,26,46,66,88,112,134,154,164,162,156,136,114,104,88,70,54,34,16,22,24,20,22,20,18,18,18,14,8,6,8,8,10,11,5,4,4,8,10,10,4,1,2,6,6,6,4,1,1,4,2,4,4,8,8,8,12,14,10,7,3,1,4,8,8,10,14,20,20,16,10,6,8,10,4,1,1,1,1,5,5,4,4,6,6,12,14,14,14,12,12,12,6,4,4,6,7,6,6,4,5,4,8,14,16,14,16,22,28,30,20,12,14,10,2,2,2,3,1,5,2,2,2,3,2,8,6,6,7,10,6,8,10,8,8,12,14,12,12,12,6,4,7,6,4,4,2,5,6,2,2,6,11,16,14,16,18,12,8,5,1,6,14,10,2,8,10,2,4,6,6,8,12,12,8,5,8,8,6,6,6,4,6,6,2,4,2,2,6,8,14,16,12,8,8,8,4,4,4,1,4,8,12,12,5,8,12,11,14,16,14,10,8,6,4,6,10,12,12,10,6,2,8,6,16,28,34,26,12,6,6,10,16,18,18,14,12,16,26,54,96,150,194,202,164,80,40,56,62,42,26,8,8,14,18,20,30,40,44,40,28,18,22,24,26,30,34,42,48,44,42,40,34,30,38,34,22,14,12,20,38,46,42,30,18,10,10,20,26,24,14,10,12,14,14,14,18,26,32,28,18,12,12,16,16,20,28,30,30,36,34,34,32,30,20,6,2,7,15,10,6,14,16,14,14,14,10,12,20,18,18,20,26,28,24,16,18,24,36,44,46,44,40,44,54,60,60,56,62,66,70,72,72,72,78,90,100,120,146,168,180,180,178,176,178,182,188,192,196,188,176,168,160,150,140,130,118,110,104,102,104,104,100,96,94,84,76,78,82,96,110,122,128,130,134,144,160,174,176,174,176,176,180,182,182,186,196,206,206,198,200,214,214,194,200,218,202,166,176,174,144,114,96,72,64,56,46,36,18,14,6,10,20,42,62,64,52,38,23,10,22,38,38,36,32,26,18,10,38,64,74,74,66,58,46,44,42,32,14,13,22,20,24,28,16,26,34,44,44,38,22,11,14,8,2,4,10,28,40,38,38,32,14,4,10,6,10,18,16,16,24,32,30,24,20,20,20,26,34,48,52,54,48,44,46,36,24,24,32,44,50,46,36,24,18,12,10,12,16,24,36,48,46,44,40,22,6,16,18
50,86,124,148,152,126,88,58,44,50,60,56,34,6,32,48,42,32,24,32,40,42,32,18,18,38,48,44,40,42,46,66,82,92,96,92,78,58,48,54,66,66,62,54,50,48,48,46,52,54,48,38,26,14,14,22,20,10,4,6,10,18,24,22,22,22,20,16,6,9,16,18,18,20,24,22,20,32,48,56,52,52,56,54,44,34,24,24,30,36,44,50,52,48,48,42,32,28,24,18,24,30,34,38,44,50,48,34,12,16,44,64,84,106,126,144,156,162,158,144,128,106,74,50,40,26,16,8,8,16,20,22,22,18,16,16,16,12,6,4,4,6,8,12,10,5,2,2,6,8,6,3,2,6,8,8,6,2,1,1,5,1,6,8,10,6,6,10,14,14,12,10,10,14,16,14,12,14,18,14,8,2,6,8,10,4,2,4,4,4,8,8,6,12,10,12,20,20,20,16,10,10,8,4,4,4,1,6,6,4,4,8,8,8,14,16,12,8,10,10,8,6,8,10,8,6,4,4,2,4,8,6,4,4,2,6,8,2,5,8,10,6,12,6,4,6,10,8,4,2,2,6,10,6,4,6,4,6,6,6,4,4,4,6,12,14,20,18,10,8,4,2,10,14,8,2,10,9,1,2,4,6,10,14,12,8,6,4,1,4,6,6,8,8,5,1,3,1,1,4,6,12,16,16,12,10,8,4,2,2,8,10,8,12,14,9,10,12,10,7,10,10,10,14,14,10,8,8,10,12,12,12,10,14,8,4,16,26,26,18,2,4,8,10,14,18,16,12,2,24,40,58,96,154,202,216,170,84,28,42,50,32,22,40,42,50,48,42,38,34,28,20,18,20,14,14,34,46,46,32,16,10,10,12,14,18,18,16,18,18,20,20,18,22,24,22,22,10,10,30,34,20,12,10,10,12,14,20,28,34,32,26,24,26,26,22,16,11,14,12,18,16,14,16,20,16,8,4,8,13,12,2,11,12,12,14,14,8,20,32,34,30,30,36,34,24,16,16,24,30,44,50,46,42,46,48,54,54,48,48,46,52,56,54,52,54,62,70,86,110,136,156,160,156,150,148,144,146,148,144,130,114,102,92,82,74,70,66,60,56,58,58,56,52,48,48,40,32,34,34,38,50,64,74,80,86,94,110,130,146,158,166,172,184,194,198,198,202,210,208,200,200,206,198,176,188,216,214,184,172,160,132,134,120,94,68,58,50,38,30,30,16,14,14,32,56,68,66,58,52,40,50,68,64,50,34,20,12,10,16,32,44,54,54,52,48,38,28,16,20,42,40,22,22,26,34,34,28,32,42,44,34,22,12,1,4,6,4,8,16,16,6,4,16,22,18,10,11,16,14,16,26,30,23,16,8,6,16,28,28,36,46,50,46,42,48,40,24,20,24,34,42,44,36,26,20,14,14,16,20,24,32,44,46,44,40,28,14,14,16
54,96,126,136,118,80,48,28,20,28,34,26,10,18,42,50,44,36,30,38,54,60,46,28,38,58,64,58,54,52,58,72,82,86,82,68,48,30,24,22,36,40,38,32,28,28,28,26,34,32,24,10,8,12,14,18,16,8,8,12,14,12,20,20,18,14,12,6,6,18,22,16,8,6,6,8,12,14,28,38,38,38,38,34,26,18,10,4,10,14,18,26,32,40,44,42,42,42,40,38,44,42,38,34,32,30,18,20,58,90,112,124,136,146,150,152,144,130,110,88,68,42,16,8,3,8,12,10,8,10,12,14,18,14,10,10,10,8,6,6,6,8,10,10,8,6,4,2,6,5,6,6,8,10,10,10,6,4,2,1,4,4,12,12,8,2,5,9,10,12,14,14,16,18,16,12,8,10,10,8,12,10,12,12,12,6,6,8,8,10,16,16,16,18,14,18,24,24,22,12,12,8,6,6,10,14,18,20,16,12,6,10,8,8,14,16,14,10,8,6,6,6,4,6,6,6,6,6,8,8,10,6,6,6,4,6,4,1,4,8,12,10,8,2,1,3,4,4,10,12,10,10,8,4,4,4,2,6,8,10,12,12,10,10,14,18,16,10,8,2,3,4,12,14,8,3,12,10,4,4,4,8,14,16,12,10,10,8,10,10,8,2,10,10,6,2,4,2,4,6,10,16,20,20,18,18,14,12,8,6,10,8,6,12,16,14,10,9,8,6,5,4,10,10,14,18,16,6,10,12,12,12,10,16,16,6,8,20,24,20,8,4,8,6,4,8,10,18,22,20,26,32,54,106,170,220,226,176,98,20,30,44,54,76,80,82,90,76,54,32,24,4,8,8,4,12,28,54,68,62,40,24,22,32,38,38,42,42,40,36,38,30,24,8,6,14,26,28,14,16,24,20,16,12,6,6,4,12,20,26,22,20,24,26,30,32,36,38,28,12,10,4,2,7,16,20,12,4,8,10,10,8,16,12,8,10,14,12,28,40,40,32,30,32,26,16,14,18,28,30,36,48,46,40,40,38,42,42,34,30,30,38,48,48,44,44,46,48,54,64,78,96,104,104,100,98,96,90,88,82,74,62,52,46,42,42,40,38,38,34,34,30,30,28,24,24,20,16,18,14,14,20,30,40,46,50,56,68,82,94,106,114,122,134,142,150,154,154,160,160,152,146,144,134,122,136,168,184,172,146,130,136,148,148,136,116,96,86,80,76,72,58,40,38,48,72,86,90,86,86,80,88,94,80,60,40,26,22,24,30,32,34,34,40,46,52,46,40,36,40,56,38,24,24,40,40,28,14,10,24,36,40,34,24,12,12,10,4,4,14,20,22,24,26,26,18,22,26,18,10,10,26,32,36,28,10,9,24,34,28,30,40,46,46,42,48,46,32,26,24,26,30,32,28,24,18,12,14,16,16,16,26,42,48,48,42,28,10,6,5
56,94,112,106,72,36,14,8,14,22,28,28,18,30,46,50,46,40,36,38,60,70,58,36,52,72,72,60,54,54,56,66,72,70,62,46,26,14,10,2,10,16,18,14,10,8,6,6,12,8,2,14,18,20,18,16,16,12,12,14,12,10,10,12,14,12,8,6,10,14,12,12,16,20,24,26,20,9,12,16,22,26,26,22,16,9,12,12,18,20,10,6,24,38,40,42,52,60,60,54,48,38,28,18,14,30,54,96,130,150,154,150,146,138,128,116,94,70,48,30,14,2,12,16,16,16,14,8,4,4,4,4,8,10,8,8,8,8,6,8,8,9,10,10,5,4,6,4,6,2,2,4,10,10,12,12,8,10,8,3,6,12,14,8,2,2,6,8,6,4,6,12,18,16,12,8,6,2,4,8,10,14,14,14,12,8,8,10,12,14,18,18,18,18,16,18,20,20,16,12,12,6,14,34,62,88,96,94,84,60,32,14,5,2,8,12,12,10,8,6,4,2,1,4,8,8,8,8,12,14,10,2,4,4,4,4,2,1,2,6,10,10,4,1,1,2,4,8,12,14,10,10,2,8,8,4,2,4,8,12,18,18,16,16,18,14,10,8,10,4,4,5,11,11,4,8,14,14,10,8,10,16,18,16,12,12,12,8,10,14,16,10,16,12,8,4,6,4,8,10,8,10,12,10,14,16,20,20,16,8,8,4,2,10,14,14,14,10,10,8,6,8,10,6,10,16,18,11,10,8,6,4,3,9,13,10,4,16,22,20,12,6,5,2,4,8,18,22,16,10,8,10,22,58,114,172,216,220,176,104,26,40,72,90,86,72,104,102,76,46,30,14,18,8,5,12,2,26,54,68,58,38,32,42,42,38,44,46,42,34,34,32,24,20,12,6,22,32,30,30,26,10,10,10,6,6,8,18,26,28,14,8,18,20,22,24,36,48,46,34,26,26,22,16,24,26,14,6,10,8,2,10,16,12,4,8,16,22,34,38,30,18,12,14,12,10,10,18,26,26,20,32,32,24,24,22,24,24,18,14,16,24,36,40,36,36,38,38,38,40,42,50,56,60,62,62,64,56,46,46,44,36,32,30,28,26,24,22,24,22,18,16,18,16,12,14,16,14,12,10,12,14,16,18,20,20,22,32,44,50,56,56,58,70,76,82,90,92,96,98,92,88,80,72,70,74,98,122,132,124,116,124,140,152,154,144,130,124,124,126,126,118,98,82,90,108,118,118,112,112,112,108,102,86,70,54,50,48,48,48,42,36,36,40,44,54,56,56,62,60,44,12,28,54,58,40,18,12,16,18,20,36,40,36,28,20,16,16,12,20,24,24,20,22,24,16,26,34,28,16,4,24,36,35,18,7,24,38,38,20,26,34,40,46,46,48,46,36,34,32,26,30,30,18,18,14,8,10,10,8,8,20,38,46,46,36,21,8,14,12
50,82,88,68,36,22,18,18,24,32,36,38,28,38,48,52,50,44,38,30,56,68,62,40,58,74,66,50,40,44,44,52,54,50,44,28,10,3,10,14,16,16,10,4,8,16,16,16,22,20,20,28,24,20,16,8,12,10,8,8,6,8,8,8,12,12,8,12,14,12,12,20,32,30,36,40,36,24,12,10,12,16,18,16,8,8,18,26,24,16,14,18,32,42,44,46,48,56,58,46,34,22,38,64,84,98,122,148,158,156,140,124,110,94,82,62,36,16,4,8,16,18,16,14,12,10,6,2,2,4,4,4,2,2,6,8,8,8,4,10,10,10,14,10,4,2,1,2,2,1,2,6,6,6,10,8,4,8,10,10,14,14,10,4,2,4,6,5,6,4,8,14,14,8,6,6,5,8,12,12,14,14,14,16,14,12,10,16,18,16,16,16,14,12,10,10,12,12,8,8,14,28,66,120,174,202,180,182,164,118,62,22,5,1,2,6,8,6,6,6,2,1,2,8,12,10,8,8,12,16,16,10,2,2,2,2,1,1,4,6,6,8,5,1,1,1,1,5,8,10,4,10,8,14,10,8,4,8,10,10,12,14,12,12,10,6,16,18,10,6,6,6,14,18,12,12,14,14,8,6,12,18,16,12,8,8,10,8,8,10,12,10,14,12,8,6,6,6,10,8,6,10,10,1,8,6,10,18,18,12,8,6,4,10,14,12,14,12,12,12,6,6,8,4,10,14,16,14,12,10,10,10,12,16,18,12,2,14,22,24,18,10,10,6,8,10,12,18,20,18,12,6,6,32,70,116,166,208,214,178,104,42,64,88,56,10,68,98,92,62,30,10,16,14,16,26,28,20,14,44,54,42,34,36,28,22,28,32,26,20,20,22,20,18,18,8,14,22,26,30,22,14,14,20,20,16,18,26,32,30,14,6,8,16,18,22,30,46,48,42,36,40,40,26,30,26,8,2,4,4,4,10,12,6,8,22,28,32,36,30,16,6,8,12,10,6,12,18,20,14,4,10,12,6,2,5,9,11,7,4,6,12,24,30,28,26,28,30,26,22,22,24,28,30,34,36,40,38,28,26,26,22,22,22,20,18,14,12,16,18,14,12,12,10,8,10,10,6,4,8,12,14,14,12,10,10,10,14,24,28,32,32,28,32,38,42,48,52,54,56,54,52,50,44,36,38,42,58,76,84,84,90,104,120,128,126,124,126,132,142,150,152,144,132,132,142,148,144,134,128,130,126,110,96,88,86,84,76,70,68,60,52,52,54,52,56,62,64,76,88,80,44,68,86,72,40,18,6,14,10,8,26,38,40,36,28,24,28,30,26,22,18,10,10,12,2,12,28,30,20,2,22,42,50,34,28,42,46,30,12,26,36,40,46,48,46,40,34,38,42,36,34,28,16,11,8,4,4,2,4,6,18,37,44,44,34,20,4,10,8
34,58,64,66,52,34,28,28,32,38,38,40,34,44,52,56,52,44,36,20,44,54,54,38,60,66,52,34,22,26,28,34,32,30,26,10,4,12,20,24,22,16,10,10,18,26,24,22,30,32,30,30,22,20,22,18,14,8,4,5,6,12,10,6,8,8,6,10,14,12,16,30,34,22,30,36,34,26,18,12,10,8,5,8,16,18,20,12,6,20,32,38,42,44,38,28,16,16,20,44,72,98,116,128,136,140,146,148,136,118,92,72,58,44,32,12,7,18,24,24,22,18,14,8,6,5,1,1,4,6,6,6,8,4,4,6,4,4,2,9,11,12,14,6,4,2,4,1,1,2,6,6,2,4,10,8,6,12,18,18,16,10,6,6,5,8,6,2,2,4,8,10,4,4,8,12,16,16,14,10,10,10,12,14,12,14,12,18,16,14,14,12,8,4,2,3,4,8,8,20,50,104,174,242,255,255,194,216,192,138,72,24,5,2,2,4,6,6,4,6,6,4,8,12,12,8,6,8,10,14,16,14,8,5,4,6,2,2,3,6,8,10,6,2,2,4,4,8,12,12,4,10,14,14,6,8,4,6,6,2,2,4,4,4,8,20,22,16,4,10,10,6,12,18,16,14,12,10,5,4,10,12,8,4,2,5,7,4,4,6,4,8,12,12,8,8,4,4,6,1,10,14,10,6,10,8,3,8,14,14,10,8,8,10,14,14,14,12,12,12,4,3,5,1,9,15,14,12,10,10,14,12,14,14,12,6,2,12,20,26,26,16,14,10,8,4,6,16,22,24,20,13,12,30,52,76,108,156,200,214,174,82,30,100,112,66,52,74,104,100,80,56,52,50,50,44,48,44,28,14,24,30,30,26,18,14,20,26,20,22,24,26,28,26,22,10,6,2,10,14,12,12,18,30,30,20,16,16,20,14,2,14,10,14,22,28,26,40,44,38,34,40,46,38,30,20,10,6,6,10,4,8,12,8,24,34,34,32,26,16,6,4,6,10,16,20,20,20,18,8,2,6,6,5,6,8,10,9,8,6,4,3,8,12,14,12,12,16,16,12,8,10,8,8,10,12,18,22,16,14,16,14,16,18,16,16,12,8,8,10,10,8,6,4,4,4,2,2,4,6,8,10,14,18,16,14,14,14,18,20,22,24,24,22,22,22,22,24,26,30,32,32,32,28,20,14,16,14,22,32,36,38,48,64,74,78,82,88,96,108,120,128,134,132,132,142,148,146,138,128,126,130,130,120,112,112,110,104,96,86,78,72,66,62,52,56,66,72,82,96,98,70,88,94,68,38,44,34,18,12,12,16,28,34,32,24,20,26,36,40,40,42,38,32,32,26,24,28,28,20,10,22,46,60,50,46,52,42,20,10,24,40,48,50,46,36,26,24,32,46,50,44,32,20,14,8,2,2,4,6,6,18,38,48,50,42,30,20,24,24
16,48,68,72,64,48,40,38,40,44,38,34,32,48,56,60,56,48,36,18,36,42,40,36,56,56,38,16,6,8,16,20,14,16,24,16,20,26,28,26,20,24,20,22,32,36,32,30,30,36,32,24,18,20,24,24,18,12,4,4,7,11,6,4,6,6,8,10,9,6,20,26,18,6,20,30,26,24,22,20,20,18,12,12,11,16,18,26,42,52,50,40,32,21,28,32,60,88,114,140,156,162,158,150,144,134,120,102,82,62,38,22,14,6,12,18,28,32,32,26,18,16,16,14,4,4,1,2,6,4,4,4,10,8,8,8,4,4,8,12,10,13,13,5,4,2,4,2,2,4,5,3,2,4,12,14,14,18,22,20,14,4,5,8,12,12,6,4,4,4,4,8,8,16,18,18,20,16,10,6,6,8,10,8,4,6,8,14,12,10,6,2,3,2,4,2,2,10,20,54,114,188,255,255,255,172,146,168,154,132,76,28,8,6,4,6,6,8,6,6,8,10,12,8,6,5,2,6,6,8,12,14,14,12,6,4,4,4,4,6,10,8,4,2,4,6,4,8,12,14,10,10,11,12,6,4,2,6,4,1,2,4,4,8,16,20,14,5,8,14,8,2,4,10,12,8,4,5,6,6,9,9,5,2,2,6,6,6,2,4,6,8,10,8,6,8,5,4,6,8,14,14,10,6,12,12,7,4,10,12,10,10,12,12,14,14,14,12,12,14,7,4,10,6,12,16,12,8,4,12,12,14,10,4,3,6,6,4,14,22,24,18,16,12,6,4,8,8,16,22,22,24,16,26,46,56,66,98,150,204,218,166,64,40,98,88,24,54,112,138,140,126,106,84,74,62,64,62,54,34,10,24,26,28,24,16,18,24,20,20,30,36,42,42,36,24,22,24,24,14,14,8,13,26,22,10,9,8,26,28,24,26,18,18,26,30,24,34,38,34,30,34,40,36,28,26,26,22,10,8,12,12,20,22,34,38,34,24,16,14,12,12,12,22,30,28,22,16,10,6,4,4,10,14,10,6,6,8,10,4,4,10,14,14,12,8,6,5,8,10,2,4,4,6,10,10,8,10,10,10,12,10,12,16,16,18,16,12,10,8,6,4,3,1,1,2,4,8,10,8,8,5,8,16,18,14,12,12,12,12,12,12,14,14,10,7,8,8,3,8,12,14,18,16,10,12,18,22,16,14,12,4,5,16,22,28,32,34,38,46,58,68,80,88,90,100,108,110,110,106,104,108,116,116,112,112,114,112,106,100,94,88,78,64,56,64,76,84,90,98,100,80,88,90,64,50,62,62,48,40,32,26,26,28,26,20,16,20,30,42,48,50,50,46,44,40,34,34,34,30,26,24,46,60,54,46,42,26,12,14,18,32,46,50,52,42,20,10,20,40,56,60,52,38,24,12,4,4,6,6,12,30,52,62,62,52,40,30,28,28
